objid,ra,dec,z,v_rest
1237667324334440637,194.592319576435,28.1521335883532,0.022274,-291.181
1237667444585398365,194.59876240936,28.3288056626646,0.027300,1215.567
1237667323260764177,194.605424605225,27.1999966145997,0.026831,1075.168
1237667324334440670,194.606368884908,28.1289242167915,0.027363,1234.582
1237667323797569745,194.612821592326,27.7066155934414,0.023356,33.392
1237667442974851227,194.612874472817,27.0234643455639,0.025157,573.117
1237665440978829339,194.616023247069,28.9741297107337,0.023800,166.494
1237667443511656680,194.618366023763,27.5593782172644,0.025262,604.718
1237667444585398354,194.622956182916,28.3011212588116,0.019695,-1064.172
1237667324334440484,194.625853257776,28.0147532559593,0.023838,177.772
1237665440978829404,194.626090006507,28.8588404229993,0.026647,1019.883
1237667442974851236,194.628474237004,26.9949379848372,0.024862,484.834
1237667444585398462,194.628987707848,28.2336221820637,0.024294,314.429
1237667323797635081,194.631665985428,27.6734902125585,0.023070,-52.606
1237667324334440699,194.632953269733,28.049613370128,0.019031,-1263.300
1237667443511722010,194.633601353935,27.4563338750488,0.023420,52.387
1237667444585398452,194.634529045872,28.3779720627965,0.019620,-1086.866
1237667323260764326,194.638068941343,27.364365696737,0.023227,-5.266
1237667444048527610,194.640712940872,27.8367690222357,0.015034,-2461.610
1237667323797635092,194.646608296653,27.59640874119,0.025644,719.167
1237667323260764184,194.647230921338,27.2647008292695,0.024540,388.091
1237667444048527840,194.650332421478,27.8728881655502,0.023668,126.729
1237667324334440523,194.651452947627,28.1137335916792,0.022695,-164.750
1237667442974851089,194.651496545238,27.1041321032733,0.026492,973.289
1237667444048527619,194.653129318498,27.8494820556382,0.020559,-805.137
1237667323260764250,194.655341647786,27.1766130597826,0.025568,696.434
1237667443511722013,194.657624196313,27.4639536798017,0.020910,-700.056
1237667444048527629,194.658997052094,27.8225827526021,0.017988,-1576.155
1237667443511722195,194.660041733041,27.5441002461781,0.019913,-998.853
1237667442974851251,194.661203912329,27.013245572489,0.023405,47.848
1237667444048527614,194.662268736912,27.9538686676223,0.019988,-976.285
1237667322723893381,194.666449709883,26.7595253356927,0.024854,482.316
1237667444048593192,194.669716871835,27.8269172190354,0.020577,-799.878
1237667324334506238,194.673441410993,28.1854913407012,0.026827,1073.933
1237665440978829441,194.680067925913,28.9100472435057,0.027834,1375.764
1237667444585398361,194.68293910759,28.2826715388061,0.025447,660.078
1237667324334506253,194.683962833394,28.048963151128,0.029591,1902.502
1237667444048593198,194.689411138307,27.8799578659763,0.028239,1497.123
1237667323797635368,194.689761125662,27.7538787606315,0.022096,-344.574
1237667444048593218,194.692141046472,27.8608654814521,0.029274,1807.327
1237667323797635139,194.697502913701,27.674715526321,0.027962,1414.167
1237667324334506263,194.700641383394,28.0187270421761,0.023617,111.605
1237667444048592910,194.703028661819,27.8104347379211,0.019744,-1049.455
1237665440442024094,194.703919061709,28.5399979627666,0.020969,-682.216
1237667444048593228,194.711489231524,27.9955465746688,0.022355,-266.871
1237667324334506271,194.711518885803,28.0840122947982,0.020261,-894.571
1237667324334506291,194.711750032724,28.006993538058,0.024904,497.393
1237667323797635203,194.717062701033,27.785051267967,0.018857,-1315.626
1237667444585463914,194.720641275355,28.2338266213583,0.020241,-900.587
1237667444048592912,194.721057338949,27.8134254983291,0.018420,-1446.411
1237667324334506284,194.722663586506,28.1260675356492,0.023377,39.694
1237667444585464035,194.726911302822,28.2229662063709,0.023632,116.129
1237667444048592965,194.727648509536,27.7956168189585,0.021582,-498.548
1237667444048592938,194.730217197329,27.9647019571191,0.018893,-1304.816
1237667444048592948,194.733084612909,27.8333723952429,0.025103,556.938
1237665440442024035,194.733756557692,28.463629028495,0.019721,-1056.405
1237667444048593262,194.735868183527,27.8219846127597,0.029047,1739.256
1237667323797635381,194.740101228361,27.7854263854028,0.023147,-29.364
1237667323797635239,194.742097406075,27.5947022585962,0.020049,-958.283
1237667444048593276,194.747813258323,27.934521685377,0.019177,-1219.612
1237667444048593271,194.75029233349,27.9674744716536,0.027746,1349.325
1237667444585463852,194.757544806777,28.2253562792871,0.026754,1051.829
1237667322723958800,194.757609407454,26.8156555962202,0.023865,185.764
1237667324334506010,194.758627002364,28.1156649660561,0.031410,2447.857
1237667324334506008,194.766250199148,28.1236980668986,0.026452,961.334
1237667444048593305,194.767306805655,27.9591405726482,0.023457,63.428
1237667442974916615,194.769318215841,26.9581915564873,0.027001,1125.926
1237667444048593307,194.769323800927,27.9109796560069,0.021362,-564.547
1237667324334506316,194.769894494007,28.0503851802426,0.026892,1093.392
1237667323797635307,194.772062128779,27.6444041288121,0.018126,-1534.777
1237667444048592990,194.775094426765,27.9966984268305,0.025575,698.449
1237667443511722248,194.776318138544,27.4936310236085,0.027234,1195.771
1237667323797635258,194.778525159531,27.7724548926383,0.020830,-723.893
1237667323797635256,194.781212167301,27.7677646272029,0.021220,-607.172
1237667444048593084,194.783101527507,27.8549624478049,0.021927,-395.143
1237667323797635257,194.784165676772,27.784117701493,0.023448,60.778
1237667252945813654,194.785642300662,28.7282235981488,0.023667,126.543
1237667444048593321,194.787813464566,27.8975520772192,0.026151,871.144
1237667324334506325,194.789426222564,28.0409320921649,0.024045,239.877
1237667444048593330,194.790166251625,27.8673926742555,0.023058,-56.159
1237667324334506112,194.791284727657,28.1644982623325,0.028672,1626.885
1237667442438045780,194.792518219026,26.7203849699637,0.024460,364.129
1237667323797700647,194.792934776432,27.6198568777866,0.019146,-1228.980
1237667324334506328,194.798101914442,28.0092670143606,0.022995,-74.959
1237667444048593041,194.804612240889,27.9769750883,0.022602,-192.891
1237667323797700611,194.806238406711,27.7745923018939,0.022767,-143.324
1237667443511787541,194.8071019503,27.4025691279803,0.018862,-1313.854
1237667324334506149,194.807989078434,28.0762433157455,0.026047,839.888
1237667444048593338,194.810920146189,27.8955907154115,0.021376,-560.437
1237667444585463957,194.812434476022,28.2510179348677,0.024802,466.730
1237667444048593040,194.813531168594,27.9707257794689,0.016083,-2147.136
1237667323260829813,194.818373318641,27.1580788307777,0.022321,-276.884
1237667442974916766,194.819454487904,27.1061439810947,0.027953,1411.511
1237667322723958937,194.82616113055,26.8898689261211,0.018254,-1496.275
1237667323797700769,194.826472027384,27.7157317807831,0.022257,-296.323
1237667443511787618,194.826871658135,27.5135105463817,0.020151,-927.515
1237667323797700661,194.827255285657,27.5935943588469,0.017443,-1739.383
1237667444048593360,194.832147867801,27.9735002967325,0.024128,264.700
1237667324334571534,194.83283244246,28.0842960059655,0.015277,-2388.793
1237667444048593146,194.8340568652,27.8859921035639,0.021624,-486.100
1237667324334571543,194.834154529007,28.074282015804,0.023888,192.675
1237667324334506354,194.834179594958,28.1979235986017,0.031563,2493.786
1237667443511787686,194.834590287091,27.435237197549,0.025671,727.388
1237665440442089547,194.83755027636,28.4414771516295,0.021894,-404.926
1237667444048593359,194.839209090207,27.9735636048933,0.020206,-911.080
1237667322723958957,194.842093748212,26.79710243348,0.021511,-519.854
1237667444048658449,194.844255402196,27.8968728016878,0.017188,-1815.872
1237665440442089553,194.846473958468,28.4885986089472,0.023346,30.358
1237667444048658450,194.847550121137,27.9195655266725,0.023110,-40.462
1237667443511787630,194.852450824493,27.517337600233,0.019652,-1077.228
1237667323797700671,194.853878187874,27.7388318633023,0.020117,-937.624
1237667324334571631,194.854357366458,27.9967289709423,0.018282,-1487.998
1237667444048658529,194.855528199395,27.9679287147912,0.025705,737.610
1237667444048658536,194.855569779096,27.9344868386748,0.025311,619.465
1237667444048658526,194.856189289841,27.973202528396,0.020330,-873.876
1237667324334571778,194.857572540543,28.1869812852246,0.025764,755.274
1237667444585463989,194.858942661325,28.2875417099058,0.026679,1029.365
1237667324334571629,194.860799733229,27.9984691439052,0.022244,-300.154
1237667444048658757,194.863772882899,27.785052536015,0.021953,-387.265
1237667324334571539,194.86968125199,28.0405136064394,0.018756,-1345.887
1237667444048658609,194.872525699143,27.8501566064127,0.022645,-180.033
1237667444048658522,194.874841778964,27.9564278077549,0.022667,-173.174
1237665427552927881,194.875477343479,28.7001284408476,0.023682,131.139
1237667444048658766,194.877704575497,27.7914241205781,0.025912,799.464
1237667444048658616,194.878434451101,27.8842071991656,0.015710,-2258.950
1237667444048658549,194.879595289908,27.9549070471196,0.023659,124.223
