ObjectId,Redshift,Band,ExposureMinutes,EmissionLine,EstimatedZ,SNR,AxisRatio,Inclination,KinematicScore
COS4_15617,0.8841,YJ,500.0,H-alpha,0.8841,3.7,0.700,46.2,50.2
COS4_12057,2.7901,K,520.0,H-alpha,2.7901,3.9,0.507,60.7,49.6
COS4_19313,1.0529,YJ,995.0,H-alpha,1.0529,7.3,0.900,26.2,49.5
COS4_05925,0.8013,YJ,370.0,H-alpha,0.8013,4.5,0.606,53.5,48.7
COS4_06528,0.8686,YJ,230.0,H-alpha,0.8686,5.7,0.908,25.1,48.6
COS4_25969,0.5806,YJ,200.0,H-alpha,0.5806,3.2,0.674,48.4,48.2
COS4_05656,0.7903,YJ,370.0,H-alpha,0.7903,4.0,0.635,51.4,47.8
COS4_23734,2.7871,K,475.0,H-alpha,2.7871,4.7,0.754,41.6,43.7
COS4_20007,1.7419,H,510.0,H-alpha,1.7419,9.4,0.952,18.1,43.0
COS4_21030,0.8357,YJ,535.0,H-alpha,0.8357,3.5,0.816,35.8,42.3
COS4_20612,1.0515,YJ,790.0,H-alpha,1.0515,3.6,0.765,40.7,41.8
COS4_20122,0.7601,YJ,315.0,H-alpha,0.7601,4.1,0.811,36.3,41.5
COS4_15813,2.7118,K,470.0,H-alpha,2.7118,3.0,0.762,40.9,41.4
COS4_11142,2.7041,K,995.0,H-alpha,2.7041,4.1,0.872,29.7,40.4
COS4_04327,1.0542,YJ,230.0,H-alpha,1.0542,3.2,0.765,40.6,39.2
COS4_17395,0.7102,YJ,315.0,H-alpha,0.7102,4.8,0.855,31.6,39.1
COS4_12476,1.4081,H,465.0,H-alpha,1.4081,4.2,0.902,25.9,35.9
COS4_21907,0.5619,YJ,200.0,H-alpha,0.5619,6.9,0.948,18.8,35.5
COS4_05094,2.7679,K,615.0,H-alpha,2.7679,3.1,0.927,22.3,34.9
COS4_25458,0.7377,YJ,480.0,H-alpha,0.7377,4.5,0.935,21.0,34.9
COS4_15372,0.7580,YJ,655.0,H-alpha,0.7580,3.6,0.938,20.5,34.7
COS4_26507,1.0609,YJ,200.0,H-alpha,1.0609,3.2,0.888,27.7,34.1
COS4_00937,0.7449,YJ,230.0,H-alpha,0.7449,3.2,0.871,29.8,33.4
COS4_03700,0.7265,YJ,230.0,H-alpha,0.7265,3.2,0.887,27.9,33.2
COS4_04943,0.5654,YJ,230.0,H-alpha,0.5654,3.4,0.766,40.6,33.2
COS4_03206,2.0012,K,525.0,H-alpha,2.0012,2.2,0.707,45.7,31.1
COS4_18644,0.9781,YJ,545.0,H-alpha,0.9781,2.1,0.722,44.4,29.8
COS4_21570,2.7944,K,965.0,H-alpha,2.7944,2.9,0.743,42.6,29.5
COS4_08775,2.0487,K,525.0,H-alpha,2.0487,2.9,0.773,39.9,28.5
