Object,RA,DEC,z,StellarMass,StellarMassErr,SFR,Radius,SourceCatalog,SepArcsec,zPDF
COS4_13679,150.117308,2.320030,1.0649,7.943E+010,0.150,2.455E-002,4.95,COSMOS2015,0.04,1.0103
COS4_13701,150.112729,2.319440,2.7602,3.890E+010,0.150,4.074E+001,5.41,COSMOS2015,0.03,2.1885
COS4_13748,150.193329,2.320060,1.8165,4.898E+009,0.150,3.020E+001,5.40,COSMOS2015,0.10,1.4507
COS4_13786,150.136500,2.320500,0.5419,1.380E+010,0.150,3.890E+001,4.08,COSMOS2015,0.18,1.0055
COS4_13813,150.192992,2.320230,1.8175,2.291E+010,0.150,9.550E+001,6.13,COSMOS2015,0.04,1.6122
COS4_13837,150.152925,2.322900,0.5809,1.380E+011,0.150,7.943E-003,5.67,COSMOS2015,0.06,0.8300
COS4_13890,150.187637,2.322500,1.7751,2.512E+011,0.150,1.259E+001,6.27,COSMOS2015,0.04,1.4433
COS4_13901,150.166000,2.332000,0.6445,1.259E+011,0.150,4.169E+000,7.02,COSMOS2015,0.19,0.6613
COS4_14160,150.148600,2.324600,0.7353,5.623E+010,0.150,1.000E+000,4.44,COSMOS2015,0.19,0.8115
COS4_14180,150.066650,2.324310,NaN,8.318E+009,0.150,4.169E+001,4.92,COSMOS2015,0.04,2.3947
COS4_14331,150.068479,2.326530,0.5529,3.090E+010,0.150,2.344E-001,3.65,COSMOS2015,0.05,0.7778
COS4_14400,150.117300,2.327100,0.7064,3.467E+010,0.150,4.074E+001,4.65,COSMOS2015,0.13,0.9179
COS4_14445,150.120500,2.327690,0.9313,3.162E+010,0.150,1.000E-001,4.73,COSMOS2015,0.04,0.8711
COS4_14530,150.098588,2.328000,0.7163,2.344E+009,0.150,4.467E+000,4.54,COSMOS2015,0.06,0.8768
COS4_14596,150.064558,2.329030,1.9726,2.239E+009,0.150,5.248E-001,4.49,COSMOS2015,0.04,0.2900
COS4_15095,150.121387,2.334200,0.5550,4.074E+009,0.150,3.548E+000,3.60,COSMOS2015,0.17,0.8650
COS4_15372,150.133329,2.337020,0.7580,1.585E+009,0.150,1.778E+000,4.34,COSMOS2015,0.07,0.7642
